DateTime,AddedIPs,RemovedIPs
1592398572,3,3
1592400661,0,3
1592402652,4,2
1592404593,2,2
1592406496,3,5
1592408411,3,3
1592410396,4,1
1592412257,0,2
1592414169,4,1
1592416119,4,4
1592418015,21,2
1592419932,51,2
1592421902,0,2
1592423776,5,1
1592425690,2,1
1592427675,2,1
1592429852,2,2
1592431722,0,3
1592433616,2,0
1592435536,2,1
1592437472,0,1
1592441534,1,0
1592443451,1,1
1592445406,2,1
1592447292,3,1
1592450170,11,3
1592452087,3,0
1592454026,0,1
1592455935,4,2
1592457853,4,4
1592459803,2,2
1592461690,6,1
1592464812,2,19
1592466739,3,1
1592468664,2,6
1592470589,2,1
1592472484,0,1
1592474459,0,3
